Reference, Value, Footprint, Datasheet, manf#, Digikey, Field4, Field5, Field6, Field7, Field8, Field9, Field10, Field11
"HB14","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB15","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB16","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB17","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB18","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB19","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB20","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB21","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB22","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB23","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB24","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB25","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB26","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB27","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB28","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB29","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB30","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB31","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB32","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB33","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB34","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB35","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB36","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB37","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB38","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB39","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB40","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB41","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB42","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB43","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB44","hole_baffle","chromogram_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB45","mtg_hole_3mm_small","chromogram_libs:MountingHole_3.2mm_M3","","Value","","","","","","","","",""
"HB46","mtg_hole_3mm_small","chromogram_libs:MountingHole_3.2mm_M3","","Value","","","","","","","","",""
"HB47","mtg_hole_3mm","chromogram_libs:MountingHole_3.2mm_M3_Pad_Via","","Value","","","","","","","","",""
"HB48","mtg_hole_3mm","chromogram_libs:MountingHole_3.2mm_M3_Pad_Via","","Value","","","","","","","","",""
"HB49","mtg_hole_3mm","chromogram_libs:MountingHole_3.2mm_M3_Pad_Via","","Value","","","","","","","","",""
"HB50","mtg_hole_3mm","chromogram_libs:MountingHole_3.2mm_M3_Pad_Via","","Value","","","","","","","","",""
"J1","CLK_IN","chromogram_libs:1pin",""
"J2","DAT_IN","chromogram_libs:1pin",""
"J3","LDR1","chromogram_libs:1pin",""
"J4","LDR2","chromogram_libs:1pin",""
"J5","LDR3","chromogram_libs:1pin",""
"J6","LDR4","chromogram_libs:1pin",""
"J7","5V","chromogram_libs:1pin",""
"J8","GND","chromogram_libs:1pin",""
"J9","CLK_IN","chromogram_libs:1pin",""
"J10","DAT_IN","chromogram_libs:1pin",""
"J11","LDR1","chromogram_libs:1pin",""
"J12","LDR2","chromogram_libs:1pin",""
"J13","LDR3","chromogram_libs:1pin",""
"J14","LDR4","chromogram_libs:1pin",""
"J15","5V","chromogram_libs:1pin",""
"J16","GND","chromogram_libs:1pin",""
